team,season_end_year,srs,mov,net_rating,off_rating,def_rating,pace,w,l,win_pct
GSW,2006,-1.11,-1.35,-1.4,104.8,106.2,93.3,34.0,48.0,0.415
HOU,2006,-1.3,-1.59,-1.7,101.6,103.3,88.0,34.0,48.0,0.415
IND,2006,1.62,1.89,2.1,104.5,102.4,89.7,41.0,41.0,0.5
LAC,2006,1.75,1.57,1.7,105.3,103.6,91.7,47.0,35.0,0.573
LAL,2006,2.53,2.5,2.7,108.4,105.7,90.9,45.0,37.0,0.549
MEM,2006,3.74,3.7,4.3,105.9,101.6,86.3,49.0,33.0,0.598
MIA,2006,3.59,3.87,4.2,108.7,104.5,91.6,52.0,30.0,0.634
MIL,2006,-1.07,-1.04,-1.1,106.3,107.4,91.2,40.0,42.0,0.488
MIN,2006,-1.75,-1.88,-2.1,102.4,104.5,88.8,33.0,49.0,0.402
NJN,2006,1.11,1.37,1.5,103.9,102.4,89.8,49.0,33.0,0.598
NOP,2006,-2.51,-2.82,-3.1,103.7,106.8,89.0,38.0,44.0,0.463
NYK,2006,-6.3,-6.4,-7.0,104.0,111.0,90.8,23.0,59.0,0.28
ORL,2006,-1.26,-1.07,-1.2,106.3,107.5,88.3,36.0,46.0,0.439
PHI,2006,-2.1,-1.95,-2.1,106.0,108.1,92.7,38.0,44.0,0.463
PHX,2006,5.48,5.55,5.7,111.5,105.8,95.8,54.0,28.0,0.658
POR,2006,-8.91,-9.45,-10.8,101.1,111.9,87.6,21.0,61.0,0.256
SAC,2006,1.61,1.54,1.7,106.7,105.0,91.9,44.0,38.0,0.537
SAS,2006,6.69,6.82,7.7,107.3,99.6,88.5,63.0,19.0,0.768
SEA,2006,-2.88,-3.02,-3.3,111.1,114.4,91.6,35.0,47.0,0.427
TOR,2006,-3.03,-2.99,-3.2,109.5,112.7,91.1,27.0,55.0,0.329
UTA,2006,-2.49,-2.63,-2.9,104.1,107.0,87.8,41.0,41.0,0.5
WAS,2006,1.57,1.85,2.0,109.3,107.3,92.3,42.0,40.0,0.512
ATL,2007,-4.86,-4.76,-5.3,103.0,108.3,90.0,30.0,52.0,0.366
BOS,2007,-3.7,-3.41,-3.7,103.2,106.9,92.0,24.0,58.0,0.293
CHA,2007,-3.97,-3.74,-4.0,103.6,107.6,92.0,33.0,49.0,0.402
CHI,2007,4.52,5.01,5.3,104.9,99.6,93.6,49.0,33.0,0.598
CLE,2007,3.33,3.83,4.2,105.5,101.3,90.8,50.0,32.0,0.61
DAL,2007,7.28,7.22,8.1,111.3,103.2,89.5,67.0,15.0,0.817
DEN,2007,1.69,1.62,1.7,107.6,105.9,97.4,45.0,37.0,0.549
DET,2007,3.69,4.16,4.7,108.9,104.2,87.3,53.0,29.0,0.646
