game_id,season,team,n_subs_logged,n_periods_with_subs,log_complete,season_end_year
20000246,2000-01,LAL,15,4,True,2001
20000247,2000-01,GSW,14,4,False,2001
20000247,2000-01,SEA,18,4,True,2001
20000248,2000-01,SAS,24,4,True,2001
20000248,2000-01,VAN,14,4,False,2001
20000249,2000-01,LAC,19,4,True,2001
20000249,2000-01,NYK,12,4,False,2001
20000250,2000-01,DEN,23,4,True,2001
20000250,2000-01,PHI,27,4,True,2001
20000251,2000-01,BOS,27,4,True,2001
20000251,2000-01,ORL,21,4,True,2001
20000252,2000-01,ATL,21,4,True,2001
20000252,2000-01,MIA,17,4,True,2001
20000253,2000-01,CHH,17,4,True,2001
20000253,2000-01,CLE,17,4,True,2001
20000254,2000-01,IND,12,4,False,2001
20000254,2000-01,NJN,11,4,False,2001
20000255,2000-01,CHI,22,4,True,2001
20000255,2000-01,MIN,23,4,True,2001
20000256,2000-01,DAL,15,4,True,2001
20000256,2000-01,HOU,9,3,False,2001
20000257,2000-01,TOR,12,4,False,2001
20000257,2000-01,UTA,12,4,False,2001
20000258,2000-01,LAL,16,4,True,2001
20000258,2000-01,PHI,25,4,True,2001
20000259,2000-01,SAC,12,4,False,2001
20000259,2000-01,SAS,17,4,True,2001
20000260,2000-01,DET,28,4,True,2001
20000260,2000-01,VAN,17,4,True,2001
20000261,2000-01,MIL,23,4,True,2001
20000261,2000-01,NJN,12,4,False,2001
20000262,2000-01,LAC,16,4,True,2001
20000262,2000-01,WAS,25,4,True,2001
20000263,2000-01,DEN,15,4,True,2001
20000263,2000-01,MIA,14,4,False,2001
20000264,2000-01,CHH,14,4,False,2001
20000264,2000-01,IND,17,4,True,2001
20000265,2000-01,CHI,17,4,True,2001
20000265,2000-01,CLE,23,4,True,2001
20000266,2000-01,DAL,12,4,False,2001
20000266,2000-01,NYK,13,4,False,2001
20000267,2000-01,GSW,18,5,True,2001
20000267,2000-01,LAL,16,4,True,2001
20000268,2000-01,POR,16,4,True,2001
20000268,2000-01,TOR,16,4,True,2001
20000269,2000-01,DET,26,4,True,2001
20000269,2000-01,SEA,20,4,True,2001
20000270,2000-01,DEN,20,4,True,2001
20000270,2000-01,ORL,14,4,False,2001
20000271,2000-01,MIL,17,4,True,2001
20000271,2000-01,PHX,20,4,True,2001
20000272,2000-01,MIN,20,4,True,2001
20000272,2000-01,WAS,21,4,True,2001
20000273,2000-01,NYK,19,4,True,2001
20000273,2000-01,SAS,20,4,True,2001
20000274,2000-01,UTA,15,4,True,2001
20000274,2000-01,VAN,22,4,True,2001
20000275,2000-01,BOS,18,4,True,2001
20000275,2000-01,IND,11,4,False,2001
20000276,2000-01,NJN,13,4,False,2001
20000276,2000-01,PHX,9,3,False,2001
20000277,2000-01,ATL,21,4,True,2001
20000277,2000-01,MIA,18,4,True,2001
20000278,2000-01,CHH,16,4,True,2001
20000278,2000-01,LAC,17,4,True,2001
20000279,2000-01,CHI,19,4,True,2001
20000279,2000-01,DAL,13,4,False,2001
20000280,2000-01,LAL,15,4,True,2001
20000280,2000-01,SEA,16,4,True,2001
20000281,2000-01,GSW,12,4,False,2001
20000281,2000-01,TOR,19,4,True,2001
20000282,2000-01,HOU,9,4,False,2001
20000282,2000-01,SAC,16,4,True,2001
20000283,2000-01,PHI,28,4,True,2001
20000283,2000-01,POR,20,4,True,2001
20000284,2000-01,DEN,17,4,True,2001
20000284,2000-01,NYK,13,4,False,2001
20000285,2000-01,ATL,23,4,True,2001
20000285,2000-01,CLE,23,4,True,2001
20000286,2000-01,CHH,16,5,True,2001
20000286,2000-01,IND,24,5,True,2001
20000287,2000-01,MIL,21,4,True,2001
20000287,2000-01,WAS,20,4,True,2001
20000288,2000-01,LAC,17,4,True,2001
20000288,2000-01,MIN,21,4,True,2001
20000289,2000-01,CHI,20,4,True,2001
20000289,2000-01,SAS,17,4,True,2001
20000290,2000-01,GSW,15,4,True,2001
20000290,2000-01,UTA,13,4,False,2001
20000291,2000-01,DET,24,4,True,2001
20000291,2000-01,POR,19,4,True,2001
20000292,2000-01,HOU,10,4,False,2001
20000292,2000-01,SEA,16,4,True,2001
20000293,2000-01,PHI,20,4,True,2001
20000293,2000-01,VAN,15,4,True,2001
20000294,2000-01,BOS,38,5,True,2001
20000294,2000-01,DEN,20,5,True,2001
20000295,2000-01,DAL,15,4,True,2001
20000295,2000-01,NJN,15,4,True,2001
20000296,2000-01,PHX,18,4,True,2001
20000296,2000-01,TOR,12,4,False,2001
20000297,2000-01,DET,21,4,True,2001
20000297,2000-01,LAL,14,4,False,2001
20000298,2000-01,MIA,24,4,True,2001
20000298,2000-01,SAC,14,4,False,2001
20000299,2000-01,MIN,21,5,True,2001
20000299,2000-01,PHI,25,5,True,2001
20000300,2000-01,CHI,11,4,False,2001
20000300,2000-01,PHX,15,4,True,2001
20000301,2000-01,SAS,22,4,True,2001
20000301,2000-01,UTA,19,4,True,2001
20000302,2000-01,LAC,16,4,True,2001
20000302,2000-01,ORL,20,4,True,2001
20000303,2000-01,HOU,6,4,False,2001
20000303,2000-01,VAN,13,4,False,2001
20000304,2000-01,MIN,21,4,True,2001
20000304,2000-01,NJN,15,4,True,2001
20000305,2000-01,ATL,17,4,True,2001
20000305,2000-01,SAC,17,4,True,2001
20000306,2000-01,IND,15,4,True,2001
20000306,2000-01,TOR,10,4,False,2001
20000307,2000-01,CLE,23,4,True,2001
20000307,2000-01,DAL,14,4,False,2001
20000308,2000-01,DEN,22,4,True,2001
20000308,2000-01,MIA,21,4,True,2001
20000309,2000-01,LAL,21,4,True,2001
20000309,2000-01,MIL,24,4,True,2001
20000310,2000-01,GSW,10,4,False,2001
20000310,2000-01,POR,23,4,True,2001
20000311,2000-01,ORL,18,4,True,2001
20000311,2000-01,SEA,18,4,True,2001
20000312,2000-01,BOS,27,4,True,2001
20000312,2000-01,CHI,18,4,True,2001
20000313,2000-01,PHI,25,4,True,2001
20000313,2000-01,WAS,25,4,True,2001
20000314,2000-01,CHH,23,4,True,2001
20000314,2000-01,SAC,14,4,False,2001
20000315,2000-01,ATL,21,4,True,2001
20000315,2000-01,DET,26,4,True,2001
20000316,2000-01,DAL,19,4,True,2001
20000316,2000-01,IND,10,4,False,2001
