game_id,team,event,rate,margin,min_left,season,season_end_year,won_game
20000131,SAS,0,0.7393364928909953,13.0,17.583333333333332,2000-01,2001,0
20000132,PHX,0,5.3731343283582085,6.0,1.1166666666666667,2000-01,2001,0
20000133,DAL,0,1.4962593516209477,10.0,6.683333333333334,2000-01,2001,1
20000133,SEA,0,0.1511969760604788,6.0,39.68333333333333,2000-01,2001,0
20000134,IND,0,1.5789473684210529,6.0,3.8,2000-01,2001,0
20000135,BOS,1,3.1238779174147218,29.0,9.283333333333331,2000-01,2001,0
20000136,MIA,0,0.5797101449275363,6.0,10.35,2000-01,2001,1
20000136,POR,0,1.5,6.0,4.0,2000-01,2001,0
20000137,ATL,0,4.403669724770642,8.0,1.8166666666666669,2000-01,2001,0
20000137,MIN,0,0.3525954946131244,6.0,17.016666666666666,2000-01,2001,1
20000138,MIL,0,7.619047619047619,8.0,1.05,2000-01,2001,0
20000138,TOR,0,0.8135593220338982,16.0,19.666666666666668,2000-01,2001,1
20000139,PHX,0,5.675675675675675,7.0,1.2333333333333334,2000-01,2001,0
20000140,LAL,0,0.3114676734308635,11.0,35.31666666666667,2000-01,2001,0
20000140,DEN,0,1.813953488372093,13.0,7.166666666666667,2000-01,2001,1
20000141,CHI,0,36.98630136986301,45.0,1.2166666666666666,2000-01,2001,0
20000142,LAC,0,2.278481012658228,9.0,3.95,2000-01,2001,0
20000143,DAL,0,1.0389610389610389,8.0,7.7,2000-01,2001,1
20000144,GSW,0,14.75409836065574,15.0,1.0166666666666666,2000-01,2001,0
20000145,ORL,0,7.5,8.0,1.0666666666666669,2000-01,2001,0
20000146,DET,0,5.454545454545455,8.0,1.4666666666666666,2000-01,2001,0
20000147,CHI,0,10.746268656716415,12.0,1.1166666666666667,2000-01,2001,0
20000148,BOS,0,21.639344262295083,22.0,1.0166666666666666,2000-01,2001,0
20000149,TOR,1,3.076923076923077,28.0,9.1,2000-01,2001,0
20000150,UTA,0,9.677419354838708,10.0,1.0333333333333334,2000-01,2001,0
20000151,NJN,0,0.2574002574002574,10.0,38.85,2000-01,2001,1
20000151,LAC,0,3.333333333333333,6.0,1.8,2000-01,2001,0
20000152,VAN,0,3.272727272727273,6.0,1.8333333333333333,2000-01,2001,0
20000152,DEN,0,0.1876465989053948,8.0,42.63333333333333,2000-01,2001,1
20000153,WAS,0,6.0,7.0,1.1666666666666667,2000-01,2001,0
20000154,NYK,0,1.589403973509934,8.0,5.033333333333333,2000-01,2001,1
20000155,DET,0,18.80597014925373,21.0,1.1166666666666667,2000-01,2001,0
20000156,HOU,0,0.5305466237942122,11.0,20.73333333333333,2000-01,2001,1
20000156,IND,0,10.833333333333334,13.0,1.2,2000-01,2001,0
20000157,DAL,0,0.7855973813420621,16.0,20.366666666666667,2000-01,2001,0
20000158,GSW,0,0.4432132963988919,8.0,18.05,2000-01,2001,1
20000158,CHI,0,10.909090909090908,12.0,1.1,2000-01,2001,0
20000160,MIA,0,19.0,19.0,1.0,2000-01,2001,0
20000161,PHI,1,4.415584415584416,17.0,3.85,2000-01,2001,0
20000162,ATL,0,0.154696132596685,7.0,45.25,2000-01,2001,1
20000162,NYK,0,7.5,9.0,1.2,2000-01,2001,0
20000163,MIL,0,9.397590361445785,13.0,1.3833333333333333,2000-01,2001,0
20000164,VAN,0,1.8103448275862069,7.0,3.866666666666666,2000-01,2001,0
20000165,SEA,1,3.474903474903475,30.0,8.633333333333333,2000-01,2001,0
20000166,DEN,0,35.238095238095234,37.0,1.05,2000-01,2001,0
20000167,NJN,0,9.6,12.0,1.25,2000-01,2001,0
20000167,PHX,0,0.2747710241465446,11.0,40.03333333333333,2000-01,2001,1
20000168,GSW,1,5.063291139240506,20.0,3.95,2000-01,2001,0
20000169,CHI,1,5.2671755725190845,23.0,4.366666666666666,2000-01,2001,0
20000170,IND,1,6.633165829145728,22.0,3.316666666666667,2000-01,2001,0
20000171,BOS,0,0.6463195691202872,6.0,9.283333333333331,2000-01,2001,1
20000171,ORL,0,0.3483309143686502,8.0,22.966666666666665,2000-01,2001,0
20000172,PHI,0,0.1825789273488018,8.0,43.81666666666667,2000-01,2001,1
20000172,ATL,0,5.538461538461539,6.0,1.0833333333333333,2000-01,2001,0
20000173,CLE,0,0.4325437693099896,7.0,16.183333333333334,2000-01,2001,1
20000173,MIA,0,5.901639344262295,6.0,1.0166666666666666,2000-01,2001,0
20000174,VAN,1,4.075471698113208,18.0,4.416666666666667,2000-01,2001,0
20000175,WAS,0,15.238095238095235,16.0,1.05,2000-01,2001,0
20000176,MIL,0,20.0,21.0,1.05,2000-01,2001,0
20000177,SAS,1,3.352941176470588,19.0,5.666666666666667,2000-01,2001,0
20000177,DEN,0,0.5639097744360902,15.0,26.6,2000-01,2001,1
20000178,NJN,0,12.0,14.0,1.1666666666666667,2000-01,2001,0
20000179,PHX,0,0.515625,11.0,21.33333333333333,2000-01,2001,1
20000180,MIN,0,10.153846153846157,11.0,1.0833333333333333,2000-01,2001,0
20000181,LAC,0,11.11111111111111,15.0,1.35,2000-01,2001,0
20000182,NYK,0,0.9090909090909092,9.0,9.9,2000-01,2001,0
20000183,WAS,0,0.7951807228915663,11.0,13.833333333333334,2000-01,2001,1
20000183,MIL,0,5.454545454545454,6.0,1.1,2000-01,2001,0
20000184,ATL,0,22.25806451612903,23.0,1.0333333333333334,2000-01,2001,0
20000185,MIA,0,10.476190476190476,11.0,1.05,2000-01,2001,0
20000186,CLE,0,9.677419354838708,10.0,1.0333333333333334,2000-01,2001,0
20000186,CHH,0,0.1602849510240427,6.0,37.43333333333333,2000-01,2001,1
20000187,DEN,0,23.0,23.0,1.0,2000-01,2001,0
20000188,PHI,1,8.627450980392158,22.0,2.55,2000-01,2001,0
20000189,LAC,0,3.6,6.0,1.6666666666666667,2000-01,2001,0
20000190,MIN,1,6.08695652173913,21.0,3.45,2000-01,2001,0
20000191,SEA,1,5.096525096525097,22.0,4.316666666666666,2000-01,2001,0
20000192,NJN,0,1.2217194570135748,9.0,7.366666666666666,2000-01,2001,0
20000193,VAN,0,0.3597601598934044,9.0,25.016666666666666,2000-01,2001,1
20000193,BOS,0,8.4375,9.0,1.0666666666666669,2000-01,2001,0
20000194,CHI,0,7.105263157894737,9.0,1.2666666666666666,2000-01,2001,0
20000195,DET,0,11.666666666666668,14.0,1.2,2000-01,2001,0
20000196,VAN,0,21.904761904761905,23.0,1.05,2000-01,2001,0
20000197,ORL,0,10.909090909090908,12.0,1.1,2000-01,2001,0
20000198,LAC,0,14.117647058823527,16.0,1.1333333333333333,2000-01,2001,0
20000199,UTA,0,0.8955223880597015,7.0,7.816666666666666,2000-01,2001,1
20000199,NJN,0,0.4389173372348207,10.0,22.78333333333333,2000-01,2001,0
20000200,WAS,0,20.0,22.0,1.1,2000-01,2001,0
20000201,MIL,0,2.072213500784929,22.0,10.616666666666667,2000-01,2001,1
20000202,CLE,0,14.545454545454543,16.0,1.1,2000-01,2001,0
20000202,BOS,0,0.2481617647058823,9.0,36.266666666666666,2000-01,2001,1
20000203,CHI,0,21.818181818181817,24.0,1.1,2000-01,2001,0
20000204,DAL,0,0.2030456852791878,8.0,39.4,2000-01,2001,1
20000204,TOR,0,9.230769230769232,10.0,1.0833333333333333,2000-01,2001,0
20000205,HOU,1,1.5,18.0,12.0,2000-01,2001,0
20000206,IND,0,14.76923076923077,16.0,1.0833333333333333,2000-01,2001,0
20000207,POR,0,12.0,12.0,1.0,2000-01,2001,0
20000208,MIA,0,0.1322556943423952,6.0,45.36666666666667,2000-01,2001,1
20000208,NYK,0,5.714285714285714,6.0,1.05,2000-01,2001,0
20000209,WAS,0,1.5720524017467248,6.0,3.816666666666667,2000-01,2001,0
20000210,UTA,0,1.003717472118959,9.0,8.966666666666667,2000-01,2001,1
20000210,ORL,0,0.2099125364431487,6.0,28.58333333333333,2000-01,2001,0
20000211,TOR,0,22.15384615384616,24.0,1.0833333333333333,2000-01,2001,0
20000212,NJN,0,16.056338028169012,19.0,1.1833333333333331,2000-01,2001,0
20000213,MIN,0,5.714285714285714,6.0,1.05,2000-01,2001,0
20000214,SAC,0,1.210762331838565,9.0,7.433333333333334,2000-01,2001,0
20000215,GSW,1,6.282722513089006,20.0,3.183333333333333,2000-01,2001,0
20000216,VAN,0,0.3326732673267326,14.0,42.083333333333336,2000-01,2001,1
20000216,PHX,0,1.0526315789473684,6.0,5.7,2000-01,2001,0
20000217,ATL,0,10.0,10.0,1.0,2000-01,2001,0
20000218,BOS,0,10.909090909090908,14.0,1.2833333333333334,2000-01,2001,0
20000219,HOU,0,0.7003891050583658,6.0,8.566666666666666,2000-01,2001,1
20000219,DEN,0,0.3215926493108729,7.0,21.766666666666666,2000-01,2001,0
20000220,IND,0,4.316546762589928,10.0,2.316666666666667,2000-01,2001,0
20000221,DAL,0,13.0,13.0,1.0,2000-01,2001,0
20000222,LAL,1,7.653061224489796,25.0,3.2666666666666666,2000-01,2001,0
20000223,BOS,0,1.1538461538461535,6.0,5.2,2000-01,2001,0
20000224,CHH,0,16.521739130434785,19.0,1.15,2000-01,2001,0
20000225,NJN,0,1.11731843575419,10.0,8.95,2000-01,2001,0
20000225,ORL,0,0.3103448275862069,9.0,29.0,2000-01,2001,1
20000226,UTA,0,1.1170212765957448,14.0,12.533333333333331,2000-01,2001,1
20000227,LAC,0,7.0,7.0,1.0,2000-01,2001,0
20000227,TOR,0,1.4917127071823204,9.0,6.033333333333333,2000-01,2001,1
20000228,CLE,0,10.476190476190476,11.0,1.05,2000-01,2001,0
20000229,CHI,0,0.4355716878402904,16.0,36.73333333333333,2000-01,2001,0
20000230,SAS,0,4.675324675324675,6.0,1.2833333333333334,2000-01,2001,0
20000231,PHX,0,7.619047619047619,8.0,1.05,2000-01,2001,0
20000232,VAN,0,6.0,6.0,1.0,2000-01,2001,0
20000233,MIN,0,6.774193548387096,7.0,1.0333333333333334,2000-01,2001,0
20000234,NJN,0,22.62295081967213,23.0,1.0166666666666666,2000-01,2001,0
20000235,MIA,0,0.7917888563049853,9.0,11.366666666666667,2000-01,2001,1
20000235,WAS,0,1.5652173913043477,6.0,3.8333333333333335,2000-01,2001,0
20000236,CHH,0,0.2929210740439381,6.0,20.48333333333333,2000-01,2001,1
20000237,MIL,0,5.901639344262295,6.0,1.0166666666666666,2000-01,2001,0
20000238,CLE,1,25.617977528089888,38.0,1.4833333333333334,2000-01,2001,0
20000239,HOU,0,6.575342465753425,8.0,1.2166666666666666,2000-01,2001,0
20000239,POR,0,0.1339285714285714,6.0,44.8,2000-01,2001,1
20000240,SEA,0,8.0,8.0,1.0,2000-01,2001,0
20000241,GSW,1,3.8338658146964857,20.0,5.216666666666667,2000-01,2001,0
